%time;field.yaw_measurement;field.distance_wall
1.6438E+18;-4.99381E+11;6.46371E+11
1.6438E+18;-4.99381E+11;6.46371E+11
1.6438E+18;-4.99381E+11;6.45895E+11
1.6438E+18;-4.99381E+11;6.45903E+11
1.6438E+18;-4.99381E+11;6.45811E+11
1.6438E+18;-4.99381E+11;6.46223E+11
1.6438E+18;-4.99381E+11;6.46306E+11
1.6438E+18;-4.99381E+11;6.46289E+11
1.6438E+18;-4.99381E+11;6.45297E+11
1.6438E+18;-4.99381E+11;6.4511E+11
1.6438E+18;-4.99381E+11;6.4524E+11
1.6438E+18;-4.99381E+11;6.45078E+11
1.6438E+18;-4.99381E+11;6.44882E+11
1.6438E+18;-4.99381E+11;6.44886E+11
1.6438E+18;-4.99381E+11;6.44704E+11
1.6438E+18;-4.99381E+11;6.44686E+11
1.6438E+18;-4.99381E+11;6.44416E+11
1.6438E+18;-4.99381E+11;6.43034E+11
1.6438E+18;-4.99381E+11;6.42974E+11
1.6438E+18;-4.99381E+11;6.42719E+11
1.6438E+18;-4.99381E+11;6.42652E+11
1.6438E+18;-4.99381E+11;64246301651
1.6438E+18;-4.99381E+11;6.42251E+11
1.6438E+18;-4.99381E+11;6.42339E+11
1.6438E+18;-4.99381E+11;6.4217E+11
1.6438E+18;-4.99381E+11;6.41942E+11
1.6438E+18;-4.99381E+11;6.41671E+11
1.6438E+18;-4.99381E+11;6.40306E+11
1.6438E+18;-4.99381E+11;6.40706E+11
1.6438E+18;-4.99381E+11;6.40609E+11
1.6438E+18;-4.99381E+11;6.40749E+11
1.6438E+18;-4.99381E+11;6.40611E+11
1.6438E+18;-4.99381E+11;6.40361E+11
1.6438E+18;-4.99381E+11;6.40237E+11
1.6438E+18;-4.99381E+11;6.39915E+11
1.6438E+18;-4.99381E+11;6.39903E+11
1.6438E+18;-4.99381E+11;6.39719E+11
1.6438E+18;-4.99381E+11;6.39549E+11
1.6438E+18;-4.99381E+11;6.38126E+11
1.6438E+18;-4.99381E+11;6.37986E+11
1.6438E+18;-4.99381E+11;6.38002E+11
1.6438E+18;-4.99381E+11;6.37847E+11
1.6438E+18;-4.99381E+11;6.37686E+11
1.6438E+18;-4.99381E+11;6.3782E+11
1.6438E+18;-4.99381E+11;63777089119
1.6438E+18;-4.99381E+11;6.37897E+11
1.6438E+18;-4.99381E+11;6.37883E+11
1.6438E+18;-4.99381E+11;6.37796E+11
1.6438E+18;-5.23208E+11;6.48672E+11
1.6438E+18;-5.23208E+11;6.48672E+11
1.6438E+18;-5.23208E+11;6.48734E+11
1.6438E+18;-5.23208E+11;6.48631E+11
1.6438E+18;-5.23208E+11;6.48496E+11
1.6438E+18;-5.23208E+11;6.48529E+11
1.6438E+18;-5.23208E+11;6.48377E+11
1.6438E+18;-5.23208E+11;64845495224
1.6438E+18;-5.23208E+11;6.48327E+11
1.6438E+18;-5.23208E+11;64816775322
1.6438E+18;-5.23208E+11;6.48274E+11
1.6438E+18;-5.23208E+11;6.48157E+11
1.6438E+18;-5.23208E+11;6.48261E+11
1.6438E+18;-5.23208E+11;6.48197E+11
1.6438E+18;-5.23208E+11;6.48106E+11
1.6438E+18;-5.23208E+11;6.48225E+11
1.6438E+18;-5.23208E+11;6.48155E+11
1.6438E+18;-5.23208E+11;6.48282E+11
1.6438E+18;-5.23208E+11;6.48224E+11
1.6438E+18;-5.23208E+11;6.48121E+11
1.6438E+18;-5.23208E+11;6.48379E+11
1.6438E+18;-5.23208E+11;6.48296E+11
1.6438E+18;-5.23208E+11;64842171669
1.6438E+18;-5.23208E+11;6.48332E+11
1.6438E+18;-5.23208E+11;6.48187E+11
1.6438E+18;-5.23208E+11;6.48318E+11
1.6438E+18;-5.23208E+11;6.48183E+11
1.6438E+18;-5.23208E+11;6.48156E+11
1.6438E+18;-5.23208E+11;6.48018E+11
1.6438E+18;-5.23208E+11;6.47857E+11
1.6438E+18;-5.23208E+11;6.48075E+11
1.6438E+18;-5.23208E+11;6.47981E+11
1.6438E+18;-5.23208E+11;6.48306E+11
1.6438E+18;-5.23208E+11;6.48307E+11
1.6438E+18;-5.23208E+11;6.48278E+11
1.6438E+18;-5.23208E+11;6.48506E+11
1.6438E+18;-5.23208E+11;6.48512E+11
1.6438E+18;-5.23208E+11;6.48698E+11
1.6438E+18;-5.23208E+11;6.48709E+11
1.6438E+18;-5.23208E+11;6.48676E+11
1.6438E+18;-5.23208E+11;6.48998E+11
1.6438E+18;-5.23208E+11;6.48977E+11
1.6438E+18;-5.23208E+11;6.49129E+11
1.6438E+18;-5.23208E+11;6.49093E+11
1.6438E+18;-5.23208E+11;6.49005E+11
1.6438E+18;-5.23208E+11;64914689064
1.6438E+18;-5.40304E+11;6.57106E+11
1.6438E+18;-5.40304E+11;6.57106E+11
1.6438E+18;-5.40304E+11;6.57029E+11
1.6438E+18;-5.40304E+11;6.5691E+11
1.6438E+18;-5.40304E+11;65709195137
1.6438E+18;-5.40304E+11;6.57001E+11
1.6438E+18;-5.40304E+11;6.57093E+11
1.6438E+18;-5.40304E+11;6.5702E+11
1.6438E+18;-5.40304E+11;65691447258
1.6438E+18;-5.40304E+11;6.57014E+11
1.6438E+18;-5.40304E+11;6.56929E+11
1.6438E+18;-5.40304E+11;6.57053E+11
1.6438E+18;-5.40304E+11;6.56997E+11
1.6438E+18;-5.40304E+11;6.56905E+11
1.6438E+18;-5.40304E+11;6.57108E+11
1.6438E+18;-5.40304E+11;6.57048E+11
1.6438E+18;-5.40304E+11;6.57178E+11
1.6438E+18;-5.40304E+11;6.57136E+11
1.6438E+18;-5.40304E+11;6.57054E+11
1.6438E+18;-5.40304E+11;6.57254E+11
1.6438E+18;-5.40304E+11;6.57195E+11
1.6438E+18;-5.40304E+11;65722026825
1.6438E+18;-5.40304E+11;6.5714E+11
1.6438E+18;-5.40304E+11;6.5702E+11
1.6438E+18;-5.40304E+11;6.57122E+11
1.6438E+18;-5.40304E+11;6.57015E+11
1.6438E+18;-5.40304E+11;6.57071E+11
1.6438E+18;-5.40304E+11;6.56974E+11
1.6438E+18;-5.40304E+11;6.56842E+11
1.6438E+18;-5.40304E+11;6.56976E+11
1.6438E+18;-5.40304E+11;6.56887E+11
1.6438E+18;-5.40304E+11;6.56987E+11
1.6438E+18;-5.40304E+11;6.56941E+11
1.6438E+18;-5.40304E+11;6.56861E+11
1.6438E+18;-5.40304E+11;6.5691E+11
1.6438E+18;-5.40304E+11;6.56818E+11
1.6438E+18;-5.40304E+11;6.56914E+11
1.6438E+18;-5.40304E+11;6.56846E+11
1.6438E+18;-5.40304E+11;6.56729E+11
1.6438E+18;-5.40304E+11;6.56788E+11
1.6438E+18;-5.40304E+11;6.56631E+11
1.6438E+18;-5.40304E+11;6.56664E+11
1.6438E+18;-5.40304E+11;65652141571
1.6438E+18;-5.40304E+11;6.56306E+11
1.6438E+18;-5.40304E+11;6.56108E+11
