%time;field.yaw_measurement;field.distance_wall
1.6438E+18;-4.98485E+11;6.46494E+11
1.6438E+18;-4.98485E+11;6.46018E+11
1.6438E+18;-4.98485E+11;6.46026E+11
1.6438E+18;-4.98485E+11;6.45934E+11
1.6438E+18;-4.98485E+11;6.46344E+11
1.6438E+18;-4.98485E+11;6.46428E+11
1.6438E+18;-4.98485E+11;6.46411E+11
1.6438E+18;-4.98485E+11;6.4542E+11
1.6438E+18;-4.98485E+11;6.45232E+11
1.6438E+18;-4.98485E+11;6.45362E+11
1.6438E+18;-4.98485E+11;6.452E+11
1.6438E+18;-4.98485E+11;6.45004E+11
1.6438E+18;-4.98485E+11;6.45008E+11
1.6438E+18;-4.98485E+11;6.44826E+11
1.6438E+18;-4.98485E+11;6.44807E+11
1.6438E+18;-4.98485E+11;6.44537E+11
1.6438E+18;-4.98485E+11;6.43155E+11
1.6438E+18;-4.98485E+11;6.43096E+11
1.6438E+18;-4.98485E+11;6.42841E+11
1.6438E+18;-4.98485E+11;6.42773E+11
1.6438E+18;-4.98485E+11;6.42584E+11
1.6438E+18;-4.98485E+11;6.42372E+11
1.6438E+18;-4.98485E+11;6.42459E+11
1.6438E+18;-4.98485E+11;6.4229E+11
1.6438E+18;-4.98485E+11;6.42062E+11
1.6438E+18;-4.98485E+11;6.41791E+11
1.6438E+18;-4.98485E+11;6.40427E+11
1.6438E+18;-4.98485E+11;6.40826E+11
1.6438E+18;-4.98485E+11;64072842598
1.6438E+18;-4.98485E+11;6.40868E+11
1.6438E+18;-4.98485E+11;6.4073E+11
1.6438E+18;-4.98485E+11;6.40479E+11
1.6438E+18;-4.98485E+11;64035487175
1.6438E+18;-4.98485E+11;6.40033E+11
1.6438E+18;-4.98485E+11;6.40021E+11
1.6438E+18;-4.98485E+11;63983669281
1.6438E+18;-4.98485E+11;6.39666E+11
1.6438E+18;-4.98485E+11;6.38245E+11
1.6438E+18;-4.98485E+11;6.38104E+11
1.6438E+18;-4.98485E+11;6.38119E+11
1.6438E+18;-4.98485E+11;6.37964E+11
1.6438E+18;-4.98485E+11;6.37803E+11
1.6438E+18;-4.98485E+11;6.37936E+11
1.6438E+18;-4.98485E+11;6.37887E+11
1.6438E+18;-4.98485E+11;6.38013E+11
1.6438E+18;-4.98485E+11;6.37998E+11
1.6438E+18;-4.98485E+11;6.37911E+11
1.6438E+18;-4.98485E+11;6.37306E+11
1.6438E+18;-5.22472E+11;6.48915E+11
1.6438E+18;-5.22472E+11;64897608757
1.6438E+18;-5.22472E+11;64887304306
