%time;field.yaw_measurement;field.distance_wall
1.63179E+18;-4.51284E+11;4.4707E+11
1.63179E+18;-4.51284E+11;4.47026E+11
1.63179E+18;-4.51284E+11;4.47153E+11
1.63179E+18;-4.51284E+11;4.47219E+11
1.63179E+18;-4.51284E+11;4.47496E+11
1.63179E+18;-4.51284E+11;4.47916E+11
1.63179E+18;-4.51284E+11;4.48411E+11
1.63179E+18;-4.51284E+11;4.4753E+11
1.63179E+18;-4.51284E+11;4.47717E+11
1.63179E+18;-4.51284E+11;4.48059E+11
1.63179E+18;-4.51284E+11;4.47491E+11
1.63179E+18;-4.51284E+11;4.47912E+11
1.63179E+18;-4.51284E+11;4.47912E+11
1.63179E+18;-4.51284E+11;4.49026E+11
1.63179E+18;-4.51284E+11;4.49026E+11
1.63179E+18;-4.36366E+11;4.49221E+11
1.63179E+18;-4.36366E+11;4.4977E+11
1.63179E+18;-4.36366E+11;4.48685E+11
1.63179E+18;-4.36366E+11;44885931015
1.63179E+18;-4.36366E+11;44905705452
1.63179E+18;-4.36366E+11;4.48073E+11
1.63179E+18;-4.36366E+11;4.48001E+11
1.63179E+18;-4.36366E+11;4.48113E+11
1.63179E+18;-4.36366E+11;4.48221E+11
1.63179E+18;-4.36366E+11;4.48563E+11
1.63179E+18;-4.36366E+11;4.49083E+11
1.63179E+18;-4.36366E+11;4.49676E+11
1.63179E+18;-4.36366E+11;4.48513E+11
1.63179E+18;-4.36366E+11;4.48626E+11
1.63179E+18;-4.36366E+11;4.48872E+11
1.63179E+18;-4.36366E+11;4.48447E+11
1.63179E+18;-4.36366E+11;4.48728E+11
1.63179E+18;-44875356555;4.48493E+11
1.63179E+18;-44875356555;4.48707E+11
1.63179E+18;-44875356555;4490046978
1.63179E+18;-44875356555;4.4939E+11
1.63179E+18;-44875356555;44987039566
1.63179E+18;-44875356555;4.48734E+11
1.63179E+18;-44875356555;4.48944E+11
1.63179E+18;-44875356555;4.49273E+11
1.63179E+18;-44875356555;4.48997E+11
1.63179E+18;-44875356555;4.49306E+11
1.63179E+18;-44875356555;4.49908E+11
1.63179E+18;-44875356555;4.50211E+11
1.63179E+18;-44875356555;4.50638E+11
1.63179E+18;-44875356555;4.51168E+11
1.63179E+18;-44875356555;4.51796E+11
1.63179E+18;-44875356555;4.50815E+11
1.63179E+18;-4.36913E+11;4.52326E+11
1.63179E+18;-4.36913E+11;4.52693E+11
1.63179E+18;-4.36913E+11;4.5252E+11
1.63179E+18;-4.36913E+11;4.52862E+11
1.63179E+18;-4.36913E+11;4.53427E+11
1.63179E+18;-4.36913E+11;4.53746E+11
1.63179E+18;-4.36913E+11;4.54173E+11
1.63179E+18;-4.36913E+11;4.54062E+11
1.63179E+18;-4.36913E+11;4.54464E+11
1.63179E+18;-4.36913E+11;4.54448E+11
1.63179E+18;-4.36913E+11;4.5484E+11
1.63179E+18;-4.36913E+11;45533823967
1.63179E+18;-4.36913E+11;4.5509E+11
1.63179E+18;-4.36913E+11;4.5551E+11
1.63179E+18;-4.36913E+11;4.55979E+11
1.63179E+18;-4.36913E+11;4.5634E+11
1.63179E+18;-4459002316;4.54497E+11
1.63179E+18;-4459002316;4544942379
1.63179E+18;-4459002316;4.54926E+11
1.63179E+18;-4459002316;45494146347
1.63179E+18;-4459002316;4.55285E+11
1.63179E+18;-4459002316;4.55707E+11
1.63179E+18;-4459002316;4.55606E+11
1.63179E+18;-4459002316;4.55953E+11
1.63179E+18;-4459002316;4.55914E+11
1.63179E+18;-4459002316;4.56185E+11
1.63179E+18;-4459002316;4.56533E+11
1.63179E+18;-4459002316;45640501976
1.63179E+18;-4459002316;4.56702E+11
1.63179E+18;-4459002316;4.56628E+11
1.63179E+18;-4459002316;4.56903E+11
1.63179E+18;-4459002316;4.57282E+11
1.63179E+18;-4459002316;4.57111E+11
1.63179E+18;-4.48058E+11;4.58992E+11
1.63179E+18;-4.48058E+11;4.58947E+11
1.63179E+18;-4.48058E+11;4.59224E+11
1.63179E+18;-4.48058E+11;4.596E+11
1.63179E+18;-4.48058E+11;4.596E+11
1.63179E+18;-4.48058E+11;45996761322
1.63179E+18;-4.48058E+11;4.59946E+11
1.63179E+18;-4.48058E+11;4.60252E+11
1.63179E+18;-4.48058E+11;46064081192
1.63179E+18;-4.48058E+11;4.60596E+11
1.63179E+18;-4.48058E+11;4.60931E+11
1.63179E+18;-4.48058E+11;4.60852E+11
1.63179E+18;-4.48058E+11;4.61095E+11
1.63179E+18;-4.48058E+11;4.61426E+11
1.63179E+18;-4.48058E+11;4.61412E+11
1.63179E+18;-4.48058E+11;4.61719E+11
1.63179E+18;-44838309288;4.61424E+11
1.63179E+18;-44838309288;4.61699E+11
1.63179E+18;-44838309288;4.62053E+11
1.63179E+18;-44838309288;4.61839E+11
1.63179E+18;-44838309288;4.62118E+11
1.63179E+18;-44838309288;46200799942
1.63179E+18;-44838309288;4.62241E+11
1.63179E+18;-44838309288;4.62554E+11
1.63179E+18;-44838309288;4.6229E+11
1.63179E+18;-44838309288;4.62514E+11
1.63179E+18;-44838309288;4.62372E+11
1.63179E+18;-44838309288;4.62532E+11
1.63179E+18;-44838309288;4.62773E+11
1.63179E+18;-44838309288;4.62681E+11
1.63179E+18;-44838309288;46291847229
1.63179E+18;-44838309288;4.62622E+11
1.63179E+18;-44246712327;46118979454
1.63179E+18;-44246712327;4.61433E+11
1.63179E+18;-44246712327;4.61314E+11
1.63179E+18;-44246712327;4.61561E+11
1.63179E+18;-44246712327;4.61175E+11
1.63179E+18;-44246712327;4.61306E+11
1.63179E+18;-44246712327;46152009964
1.63179E+18;-44246712327;4.61343E+11
1.63179E+18;-44246712327;4.61506E+11
1.63179E+18;-44246712327;46140165329
1.63179E+18;-44246712327;4.61541E+11
1.63179E+18;-44246712327;46177573204
1.63179E+18;-44246712327;4.61592E+11
1.63179E+18;-44246712327;4.61778E+11
1.63179E+18;-44246712327;46167216301
1.63179E+18;-44246712327;4.61817E+11
1.63179E+18;-4.4541E+11;4.61364E+11
1.63179E+18;-4.4541E+11;4.61106E+11
1.63179E+18;-4.4541E+11;4.61279E+11
1.63179E+18;-4.4541E+11;4.61178E+11
1.63179E+18;-4.4541E+11;4.61317E+11
1.63179E+18;-4.4541E+11;4.61536E+11
1.63179E+18;-4.4541E+11;4.61326E+11
1.63179E+18;-4.4541E+11;4.61504E+11
1.63179E+18;-4.4541E+11;4.6133E+11
1.63179E+18;-4.4541E+11;4.61468E+11
1.63179E+18;-4.4541E+11;4.6169E+11
1.63179E+18;-4.4541E+11;46141910553
1.63179E+18;-4.4541E+11;46157913208
1.63179E+18;-4.4541E+11;4.61434E+11
1.63179E+18;-4.4541E+11;4.61554E+11
1.63179E+18;-4.4541E+11;4.6176E+11
1.63179E+18;-4.4541E+11;4.61526E+11
1.63179E+18;-4.62301E+11;4.6313E+11
1.63179E+18;-4.62301E+11;4.62976E+11
1.63179E+18;-4.62301E+11;4.63078E+11
1.63179E+18;-4.62301E+11;4.63258E+11
1.63179E+18;-4.62301E+11;46305565834
1.63179E+18;-4.62301E+11;46318655014
1.63179E+18;-4.62301E+11;4.63046E+11
1.63179E+18;-4.62301E+11;4.63132E+11
1.63179E+18;-4.62301E+11;4.63295E+11
1.63179E+18;-4.62301E+11;4.6311E+11
1.63179E+18;-4.62301E+11;4.63252E+11
1.63179E+18;-4.62301E+11;46309709549
1.63179E+18;-4.62301E+11;4.63201E+11
1.63179E+18;-4.62301E+11;4.63391E+11
1.63179E+18;-4.62301E+11;4.63172E+11
1.63179E+18;-4.62301E+11;4.63314E+11
1.63179E+18;-4.47322E+11;4.60552E+11
1.63179E+18;-4.47322E+11;4.60692E+11
1.63179E+18;-4.47322E+11;4.60912E+11
1.63179E+18;-4.47322E+11;4.60571E+11
1.63179E+18;-4.47322E+11;4.60704E+11
1.63179E+18;-4.47322E+11;46057138443
1.63179E+18;-4.47322E+11;4.6067E+11
1.63179E+18;-4.47322E+11;4.60808E+11
1.63179E+18;-4.47322E+11;4.60416E+11
1.63179E+18;-4.47322E+11;4.60239E+11
1.63179E+18;-4.47322E+11;4.59618E+11
1.63179E+18;-4.47322E+11;4.59242E+11
1.63179E+18;-4.47322E+11;4.59014E+11
1.63179E+18;-4.47322E+11;4.58537E+11
1.63179E+18;-4.47322E+11;4.5848E+11
1.63179E+18;-4.47322E+11;45833773613
1.63179E+18;-4.71619E+11;4.60721E+11
1.63179E+18;-4.71619E+11;4.60909E+11
1.63179E+18;-4.71619E+11;4.60774E+11
1.63179E+18;-4.71619E+11;4.60857E+11
1.63179E+18;-4.71619E+11;4.6049E+11
1.63179E+18;-4.71619E+11;4.60336E+11
1.63179E+18;-4.71619E+11;4.602E+11
1.63179E+18;-4.71619E+11;4.59598E+11
1.63179E+18;-4.71619E+11;4.59323E+11
1.63179E+18;-4.71619E+11;4.58825E+11
1.63179E+18;-4.71619E+11;4.58487E+11
1.63179E+18;-4.71619E+11;45821223259
1.63179E+18;-4.71619E+11;4.57439E+11
1.63179E+18;-4.71619E+11;4.57117E+11
1.63179E+18;-4.71619E+11;4.56626E+11
1.63179E+18;-4.71619E+11;4.56354E+11
1.63179E+18;-4.71619E+11;4.56182E+11
1.63179E+18;-4.9078E+11;4.61127E+11
1.63179E+18;-4.9078E+11;4.61006E+11
1.63179E+18;-4.9078E+11;4.60695E+11
1.63179E+18;-4.9078E+11;4.60565E+11
1.63179E+18;-4.9078E+11;4.6049E+11
1.63179E+18;-4.9078E+11;4.60116E+11
1.63179E+18;-4.9078E+11;4.59984E+11
1.63179E+18;-4.9078E+11;4.59622E+11
1.63179E+18;-4.9078E+11;4.59404E+11
1.63179E+18;-4.9078E+11;4.59221E+11
1.63179E+18;-4.9078E+11;4.58643E+11
1.63179E+18;-4.9078E+11;4.5838E+11
1.63179E+18;-4.9078E+11;4.57881E+11
1.63179E+18;-4.9078E+11;4.57587E+11
1.63179E+18;-4.9078E+11;4.57359E+11
1.63179E+18;-4.9078E+11;45678563118
1.63179E+18;-5.07771E+11;4.59322E+11
1.63179E+18;-5.07771E+11;4.58929E+11
1.63179E+18;-5.07771E+11;4.58702E+11
1.63179E+18;-5.07771E+11;4.58542E+11
1.63179E+18;-5.07771E+11;4.58192E+11
1.63179E+18;-5.07771E+11;45806350708
1.63179E+18;-5.07771E+11;4.57692E+11
1.63179E+18;-5.07771E+11;4.57531E+11
1.63179E+18;-5.07771E+11;4.57416E+11
1.63179E+18;-5.07771E+11;4.57124E+11
1.63179E+18;-5.07771E+11;4.56994E+11
1.63179E+18;-5.07771E+11;4.56529E+11
1.63179E+18;-5.07771E+11;4.56332E+11
1.63179E+18;-5.07771E+11;4.56177E+11
1.63179E+18;-5.07771E+11;4.55704E+11
1.63179E+18;-5.07771E+11;4.55498E+11
1.63179E+18;-5.46659E+11;4552754879
1.63179E+18;-5.46659E+11;45503988266
1.63179E+18;-5.46659E+11;4.54844E+11
1.63179E+18;-5.46659E+11;4.54399E+11
1.63179E+18;-5.46659E+11;4.54173E+11
1.63179E+18;-5.46659E+11;4.5374E+11
1.63179E+18;-5.46659E+11;4.53503E+11
1.63179E+18;-5.46659E+11;4.53331E+11
1.63179E+18;-5.46659E+11;4.52973E+11
1.63179E+18;-5.46659E+11;4.52782E+11
1.63179E+18;-5.46659E+11;4.52457E+11
1.63179E+18;-5.46659E+11;4.5226E+11
1.63179E+18;-5.46659E+11;4.52111E+11
1.63179E+18;-5.46659E+11;4.51752E+11
1.63179E+18;-5.46659E+11;4.51603E+11
1.63179E+18;-5.46659E+11;45122590065
1.63179E+18;-5.46659E+11;4.51011E+11
1.63179E+18;-5.25827E+11;4.58781E+11
1.63179E+18;-5.25827E+11;4.58404E+11
1.63179E+18;-5.25827E+11;45816860199
1.63179E+18;-5.25827E+11;4.57741E+11
1.63179E+18;-5.25827E+11;4.57442E+11
1.63179E+18;-5.25827E+11;4.57179E+11
1.63179E+18;-5.25827E+11;45679974556
1.63179E+18;-5.25827E+11;4.56548E+11
1.63179E+18;-5.25827E+11;4.5616E+11
1.63179E+18;-5.25827E+11;4.55897E+11
1.63179E+18;-5.25827E+11;45568652153
1.63179E+18;-5.25827E+11;4.55298E+11
1.63179E+18;-5.25827E+11;4.55085E+11
1.63179E+18;-5.25827E+11;4.54676E+11
1.63179E+18;-5.25827E+11;4.54415E+11
1.63179E+18;-5.25827E+11;4.5419E+11
1.63179E+18;-5.30959E+11;4.56434E+11
1.63179E+18;-5.30959E+11;4.56193E+11
1.63179E+18;-5.30959E+11;45585603714
1.63179E+18;-5.30959E+11;4.55624E+11
1.63179E+18;-5.30959E+11;4.5543E+11
1.63179E+18;-5.30959E+11;4.54992E+11
1.63179E+18;-5.30959E+11;4.54762E+11
1.63179E+18;-5.30959E+11;4.54393E+11
1.63179E+18;-5.30959E+11;45412902832
1.63179E+18;-5.30959E+11;4.53892E+11
1.63179E+18;-5.30959E+11;4.53421E+11
1.63179E+18;-5.30959E+11;4.5315E+11
1.63179E+18;-5.30959E+11;4.52751E+11
1.63179E+18;-5.30959E+11;4.52464E+11
1.63179E+18;-5.30959E+11;4.5222E+11
1.63179E+18;-5.30959E+11;4.51852E+11
1.63179E+18;-5.29713E+11;45451464653
1.63179E+18;-5.29713E+11;4.54162E+11
1.63179E+18;-5.29713E+11;4.53899E+11
1.63179E+18;-5.29713E+11;45366859436
1.63179E+18;-5.29713E+11;4.53267E+11
1.63179E+18;-5.29713E+11;4.53011E+11
1.63179E+18;-5.29713E+11;4526658535
1.63179E+18;-5.29713E+11;4.52405E+11
1.63179E+18;-5.29713E+11;4.52175E+11
1.63179E+18;-5.29713E+11;4.51837E+11
1.63179E+18;-5.29713E+11;4.51609E+11
1.63179E+18;-5.29713E+11;4.51251E+11
1.63179E+18;-5.29713E+11;4.50983E+11
1.63179E+18;-5.29713E+11;4.50737E+11
1.63179E+18;-5.29713E+11;4.5035E+11
1.63179E+18;-5.29713E+11;4.50082E+11
1.63179E+18;-5.50537E+11;4.49092E+11
1.63179E+18;-5.50537E+11;4.48841E+11
1.63179E+18;-5.50537E+11;4.48616E+11
1.63179E+18;-5.50537E+11;4.482E+11
1.63179E+18;-5.50537E+11;4.47941E+11
1.63179E+18;-5.50537E+11;4.4753E+11
1.63179E+18;-5.50537E+11;4.47236E+11
1.63179E+18;-5.50537E+11;4.46968E+11
1.63179E+18;-5.50537E+11;4.46593E+11
1.63179E+18;-5.50537E+11;4.463E+11
1.63179E+18;-5.50537E+11;4.45903E+11
1.63179E+18;-5.50537E+11;4.45591E+11
